,nameOfIssuer,titleOfClass,cusip,value,sshPrnamt,sshPrnamtType,investmentDiscretion,votingAuthoritySole,votingAuthorityShared,votingAuthorityNone
2536,SPDR DOW JONES INDL AVERAGE,UT SER 1,78467X109,183912560,488000,SH,SOLE,488000,0,0
2537,SPDR S&P 500 ETF TR,TR UNIT,78462F103,67197427,141376,SH,SOLE,141376,0,0
2538,SPDR S&P 500 ETF TR,TR UNIT,78462F103,139978795,294500,SH,SOLE,294500,0,0
2539,SPDR S&P 500 ETF TR,TR UNIT,78462F103,530778677,1116700,SH,SOLE,1116700,0,0
2540,SPDR SER TR,BLOOMBERG HIGH Y,78468R622,40076947,423065,SH,SOLE,423065,0,0
2541,SPDR SER TR,BLOOMBERG SHT TE,78468R408,10433150,415002,SH,SOLE,415002,0,0
2542,SPDR SER TR,DJ REIT ETF,78464A607,487181,5111,SH,SOLE,5111,0,0
2543,SPDR SER TR,S&P BIOTECH,78464A870,15432705,172838,SH,SOLE,172838,0,0
2544,SPDR SER TR,S&P HOMEBUILD,78464A888,26455634,276559,SH,SOLE,276559,0,0
2545,SPDR SER TR,S&P METALS MNG,78464A755,42918512,717341,SH,SOLE,717341,0,0
2546,SPDR SER TR,S&P OILGAS EXP,78468R556,2091437,15276,SH,SOLE,15276,0,0
2547,SPDR SER TR,S&P REGL BKG,78464A698,37197250,709465,SH,SOLE,709465,0,0
2548,SPDR SER TR,S&P REGL BKG,78464A698,33151489,632300,SH,SOLE,632300,0,0
2549,SPDR SER TR,S&P BIOTECH,78464A870,3625174,40600,SH,SOLE,40600,0,0
2550,SPDR SER TR,S&P OILGAS EXP,78468R556,6913955,50500,SH,SOLE,50500,0,0
2551,SPDR SER TR,S&P RETAIL ETF,78464A714,282048,3900,SH,SOLE,3900,0,0
2552,SPDR SER TR,S&P REGL BKG,78464A698,162889524,3106800,SH,SOLE,3106800,0,0
2553,SPDR SER TR,S&P METALS MNG,78464A755,80232030,1341000,SH,SOLE,1341000,0,0
2554,SPDR SER TR,S&P BIOTECH,78464A870,102585281,1148900,SH,SOLE,1148900,0,0
2555,SPDR SER TR,S&P HOMEBUILD,78464A888,344376000,3600000,SH,SOLE,3600000,0,0
2556,SPDR SER TR,S&P OILGAS EXP,78468R556,54449107,397700,SH,SOLE,397700,0,0
2557,SPDR SER TR,S&P BK ETF,78464A797,920400,20000,SH,SOLE,20000,0,0
2558,SPDR SER TR,S&P RETAIL ETF,78464A714,1504256,20800,SH,SOLE,20800,0,0
2559,SPECTRAL AI INC,*W EXP 09/11/202,84757T113,39968,190324,SH,SOLE,190324,0,0
2560,SPHERE ENTERTAINMENT CO,CL A,55826T102,31376289,923919,SH,SOLE,923919,0,0
2561,SPIRE INC,COM,84857L101,42703,685,SH,OTR,0,685,0
2562,SPIRE INC,COM,84857L101,2680869,43004,SH,SOLE,43004,0,0
2563,SPIRIT AEROSYSTEMS HLDGS INC,COM CL A,848574109,55230240,1737893,SH,SOLE,1737893,0,0
2564,SPIRIT AIRLS INC,COM,848577102,67362900,4110000,SH,SOLE,4110000,0,0
2565,SPIRIT AIRLS INC,COM,848577102,68166010,4159000,SH,SOLE,4159000,0,0
2566,SPLUNK INC,COM,848637104,263159640,1727336,SH,SOLE,1727336,0,0
2567,SPOTIFY TECHNOLOGY S A,SHS,L8681T102,323017,1719,SH,OTR,0,1719,0
2568,SPOTIFY TECHNOLOGY S A,SHS,L8681T102,44820105,238519,SH,SOLE,238519,0,0
2569,SPROUT SOCIAL INC,COM CL A,85209W109,158331,2577,SH,OTR,0,2577,0
2570,SPROUT SOCIAL INC,COM CL A,85209W109,3304980,53792,SH,SOLE,53792,0,0
2571,SPROUTS FMRS MKT INC,COM,85208M102,51080215,1061738,SH,SOLE,1061738,0,0
2572,SPS COMM INC,COM,78463M107,3088647,15934,SH,SOLE,15934,0,0
2573,SQUARESPACE INC,CLASS A,85225A107,187464,5679,SH,OTR,0,5679,0
2574,SQUARESPACE INC,CLASS A,85225A107,5313290,160960,SH,SOLE,160960,0,0
2575,STAG INDL INC,COM,85254J102,9836122,250538,SH,SOLE,250538,0,0
2576,STAGWELL INC,COM CL A,85256A109,307473,46376,SH,SOLE,46376,0,0
2577,STANDARD BIOTOOLS INC,COM,34385P108,4822633,2182187,SH,SOLE,2182187,0,0
2578,STANDARD MTR PRODS INC,COM,853666105,3264,82,SH,OTR,0,82,0
2579,STANDARD MTR PRODS INC,COM,853666105,648744,16296,SH,SOLE,16296,0,0
2580,STANLEY BLACK & DECKER INC,COM,854502101,100160,1021,SH,OTR,0,1021,0
2581,STANLEY BLACK & DECKER INC,COM,854502101,4087925,41671,SH,SOLE,41671,0,0
2582,STAR HLDGS,SHS BEN INT,85512G106,5792511,386683,SH,SOLE,386683,0,0
2583,STARBUCKS CORP,COM,855244109,82953,864,SH,OTR,0,864,0
2584,STARBUCKS CORP,COM,855244109,4510742,46982,SH,SOLE,46982,0,0
2585,STARBUCKS CORP,COM,855244109,9168955,95500,SH,SOLE,95500,0,0
2586,STARBUCKS CORP,COM,855244109,14007859,145900,SH,SOLE,145900,0,0
2587,STARTEK INC,COM,85569C107,197273,44733,SH,SOLE,44733,0,0
2588,STARWOOD PPTY TR INC,COM,85571B105,8855726,421300,SH,SOLE,421300,0,0
2589,STATE STR CORP,COM,857477103,9760,126,SH,OTR,0,126,0
2590,STATE STR CORP,COM,857477103,121134891,1563838,SH,SOLE,1563838,0,0
2591,STEEL DYNAMICS INC,COM,858119100,206793,1751,SH,OTR,0,1751,0
2592,STEEL DYNAMICS INC,COM,858119100,358079,3032,SH,SOLE,3032,0,0
2593,STELLANTIS N.V,SHS,N82405106,29873,1281,SH,OTR,0,1281,0
